dataset,condition,legacy_plus_tokens,contains_plus,contains_underscore,guide_suffix,h5ad_metadata_available,source_perturbation_column,archived_label_in_source_values,legacy_token_full_gene_universe_matches,guaranteed_none_before_hvg_subset
adamson,QARS_pDS510,QARS_pDS510,false,true,true,true,perturbation,true,,true
adamson,SAMM50_pDS156,SAMM50_pDS156,false,true,true,true,perturbation,true,,true
adamson,SEC61A1_pDS031,SEC61A1_pDS031,false,true,true,true,perturbation,true,,true
adamson,SEC61A1_pDS032,SEC61A1_pDS032,false,true,true,true,perturbation,true,,true
adamson,SEC61B_pDS033,SEC61B_pDS033,false,true,true,true,perturbation,true,,true
adamson,SEC61B_pDS162,SEC61B_pDS162,false,true,true,true,perturbation,true,,true
adamson,SEL1L_pDS373,SEL1L_pDS373,false,true,true,true,perturbation,true,,true
adamson,SLC39A7_pDS219,SLC39A7_pDS219,false,true,true,true,perturbation,true,,true
adamson,SLMO2_pDS433,SLMO2_pDS433,false,true,true,true,perturbation,true,,true
adamson,SOCS1_pDS479,SOCS1_pDS479,false,true,true,true,perturbation,true,,true
adamson,SPCS2_pDS401,SPCS2_pDS401,false,true,true,true,perturbation,true,,true
adamson,SRPR_pDS482,SRPR_pDS482,false,true,true,true,perturbation,true,,true
adamson,STT3A_pDS011,STT3A_pDS011,false,true,true,true,perturbation,true,,true
adamson,TIMM23_pDS284,TIMM23_pDS284,false,true,true,true,perturbation,true,,true
adamson,TMEM167A_pDS038,TMEM167A_pDS038,false,true,true,true,perturbation,true,,true
adamson,TTI2_pDS408,TTI2_pDS408,false,true,true,true,perturbation,true,,true
adamson,UFL1_pDS410,UFL1_pDS410,false,true,true,true,perturbation,true,,true
adamson,UFM1_pDS040,UFM1_pDS040,false,true,true,true,perturbation,true,,true
adamson,YIPF5_pDS186,YIPF5_pDS186,false,true,true,true,perturbation,true,,true
norman,AHR_FEV,AHR_FEV,false,true,false,true,perturbation,true,,true
norman,ARID1A,ARID1A,false,false,false,true,perturbation,true,ARID1A,false
norman,BCL2L11,BCL2L11,false,false,false,true,perturbation,true,BCL2L11,false
norman,BCORL1,BCORL1,false,false,false,true,perturbation,true,BCORL1,false
norman,C3orf72_FOXL2,C3orf72_FOXL2,false,true,false,true,perturbation,true,,true
norman,CBL_PTPN12,CBL_PTPN12,false,true,false,true,perturbation,true,,true
norman,CBL_TGFBR2,CBL_TGFBR2,false,true,false,true,perturbation,true,,true
norman,CDKN1A,CDKN1A,false,false,false,true,perturbation,true,CDKN1A,false
norman,CDKN1B,CDKN1B,false,false,false,true,perturbation,true,CDKN1B,false
norman,CDKN1C,CDKN1C,false,false,false,true,perturbation,true,CDKN1C,false
norman,CDKN1C_CDKN1A,CDKN1C_CDKN1A,false,true,false,true,perturbation,true,,true
norman,CDKN1C_CDKN1B,CDKN1C_CDKN1B,false,true,false,true,perturbation,true,,true
norman,CEBPB_PTPN12,CEBPB_PTPN12,false,true,false,true,perturbation,true,,true
norman,CSRNP1,CSRNP1,false,false,false,true,perturbation,true,CSRNP1,false
norman,DUSP9_PRTG,DUSP9_PRTG,false,true,false,true,perturbation,true,,true
norman,FOSB,FOSB,false,false,false,true,perturbation,true,FOSB,false
norman,FOXA3,FOXA3,false,false,false,true,perturbation,true,FOXA3,false
norman,FOXA3_FOXF1,FOXA3_FOXF1,false,true,false,true,perturbation,true,,true
norman,FOXA3_FOXL2,FOXA3_FOXL2,false,true,false,true,perturbation,true,,true
norman,HES7,HES7,false,false,false,true,perturbation,true,HES7,false
norman,HOXB9,HOXB9,false,false,false,true,perturbation,true,HOXB9,false
norman,IGDCC3_MAPK1,IGDCC3_MAPK1,false,true,false,true,perturbation,true,,true
norman,IRF1_SET,IRF1_SET,false,true,false,true,perturbation,true,,true
norman,ISL2,ISL2,false,false,false,true,perturbation,true,ISL2,false
norman,KLF1_BAK1,KLF1_BAK1,false,true,false,true,perturbation,true,,true
norman,KLF1_CLDN6,KLF1_CLDN6,false,true,false,true,perturbation,true,,true
norman,KLF1_COL2A1,KLF1_COL2A1,false,true,false,true,perturbation,true,,true
norman,KLF1_TGFBR2,KLF1_TGFBR2,false,true,false,true,perturbation,true,,true
norman,LHX1,LHX1,false,false,false,true,perturbation,true,LHX1,false
norman,LHX1_ELMSAN1,LHX1_ELMSAN1,false,true,false,true,perturbation,true,,true
norman,LYL1_IER5L,LYL1_IER5L,false,true,false,true,perturbation,true,,true
norman,MAP2K3_IKZF3,MAP2K3_IKZF3,false,true,false,true,perturbation,true,,true
norman,MAP2K3_MAP2K6,MAP2K3_MAP2K6,false,true,false,true,perturbation,true,,true
norman,MAP2K6,MAP2K6,false,false,false,true,perturbation,true,MAP2K6,false
norman,MAP7D1,MAP7D1,false,false,false,true,perturbation,true,MAP7D1,false
norman,MAPK1_IKZF3,MAPK1_IKZF3,false,true,false,true,perturbation,true,,true
norman,MAPK1_PRTG,MAPK1_PRTG,false,true,false,true,perturbation,true,,true
norman,OSR2,OSR2,false,false,false,true,perturbation,true,OSR2,false
norman,PTPN1,PTPN1,false,false,false,true,perturbation,true,PTPN1,false
norman,PTPN12_SNAI1,PTPN12_SNAI1,false,true,false,true,perturbation,true,,true
norman,SAMD1_PTPN12,SAMD1_PTPN12,false,true,false,true,perturbation,true,,true
norman,SET,SET,false,false,false,true,perturbation,true,SET,false
norman,SET_KLF1,SET_KLF1,false,true,false,true,perturbation,true,,true
norman,SGK1_TBX3,SGK1_TBX3,false,true,false,true,perturbation,true,,true
norman,SLC4A1,SLC4A1,false,false,false,true,perturbation,true,SLC4A1,false
norman,TGFBR2_PRTG,TGFBR2_PRTG,false,true,false,true,perturbation,true,,true
norman,TP73,TP73,false,false,false,true,perturbation,true,TP73,false
norman,UBASH3A,UBASH3A,false,false,false,true,perturbation,true,UBASH3A,false
norman,UBASH3B,UBASH3B,false,false,false,true,perturbation,true,UBASH3B,false
norman,ZBTB25,ZBTB25,false,false,false,true,perturbation,true,ZBTB25,false
replogle_k562,ANAPC15,ANAPC15,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,ASF1B,ASF1B,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,BUB1,BUB1,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,C9orf16,C9orf16,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,CADM4,CADM4,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,CDAN1,CDAN1,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,CHORDC1,CHORDC1,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,CIAO1,CIAO1,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,EIF1AX,EIF1AX,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,EIF3E,EIF3E,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,EIF3M,EIF3M,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,HNRNPH1,HNRNPH1,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,KIF11,KIF11,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,KLC2,KLC2,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,LENG8,LENG8,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,LIN54,LIN54,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,MED1,MED1,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,MED10,MED10,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,MED9,MED9,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,MRPL2,MRPL2,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,MRPS14,MRPS14,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,MYO1H,MYO1H,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,N6AMT1,N6AMT1,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,NAA38,NAA38,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,NAF1,NAF1,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,NUP98,NUP98,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,OIP5,OIP5,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,OR7A17,OR7A17,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,POP7,POP7,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,PPP4C,PPP4C,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,PSMC4,PSMC4,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,PSTK,PSTK,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,RAB18,RAB18,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,RIOK2,RIOK2,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,RNF8,RNF8,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,RPL10A,RPL10A,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,RPL13,RPL13,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,RPL3,RPL3,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,RPL5,RPL5,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,RPS20,RPS20,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,RRM2,RRM2,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,SLC35B1,SLC35B1,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,SMG5,SMG5,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,TICRR,TICRR,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,TIMM9,TIMM9,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,TRA2B,TRA2B,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,TUBGCP2,TUBGCP2,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,UBL5,UBL5,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,WTAP,WTAP,false,false,false,false,,not_assessed,,not_assessed
replogle_k562,ZNF687,ZNF687,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,ACTB,ACTB,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,ADRM1,ADRM1,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,ALG2,ALG2,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,CAMLG,CAMLG,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,CCDC6,CCDC6,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,CCDC78,CCDC78,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,DDN,DDN,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,DDX46,DDX46,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,EMC3,EMC3,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,FBXO42,FBXO42,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,GEMIN4,GEMIN4,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,GFM1,GFM1,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,GPS2,GPS2,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,HAUS3,HAUS3,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,HEATR1,HEATR1,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,KCNA10,KCNA10,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,LIMS1,LIMS1,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,LRRC37A3,LRRC37A3,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,MALSU1,MALSU1,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,MEN1,MEN1,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,METTL1,METTL1,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,MRPS31,MRPS31,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,N6AMT1,N6AMT1,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,NAA20,NAA20,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,NCOA4,NCOA4,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,NDUFA4,NDUFA4,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,NDUFS5,NDUFS5,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,NOLC1,NOLC1,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,NOMO3,NOMO3,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,OVCA2,OVCA2,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,PGAM5,PGAM5,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,POLR2D,POLR2D,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,POLR3C,POLR3C,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,PPP1R2,PPP1R2,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,PRC1,PRC1,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,PSTK,PSTK,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,RRP12,RRP12,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,RUVBL2,RUVBL2,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,SERBP1,SERBP1,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,SETD5,SETD5,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,SRCAP,SRCAP,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,SRSF11,SRSF11,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,TAZ,TAZ,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,TFAM,TFAM,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,TRMT112,TRMT112,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,TRNT1,TRNT1,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,TSSK3,TSSK3,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,TVP23C,TVP23C,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,VPS35,VPS35,false,false,false,false,,not_assessed,,not_assessed
replogle_rpe1,WBP1,WBP1,false,false,false,false,,not_assessed,,not_assessed
