path,sha256,dataset,hvg,graph,seed,chunk_start,chunk_end,n_rows
results_merged_3seed/hvg1000/norman__random__s44f0-10.json,9e9d6da0231184f1cff1e96389fdc9a20049b93435ed96f6a803b19d6720c616,norman,1000,random,44,0,10,10
results_merged_3seed/hvg1000/norman__random__s44f10-20.json,344d0cf4b67ac6070e2e9dab6c5ddca3a3247f63ce5f7d1dee2c1c96e95dd419,norman,1000,random,44,10,20,10
results_merged_3seed/hvg1000/norman__random__s44f20-30.json,3a67d93a9d7c5032421854e2c8123d383020715b66d7804b3a533d5c1ea92100,norman,1000,random,44,20,30,10
results_merged_3seed/hvg1000/norman__random__s44f30-40.json,c9cb35a94b80aeaff996d484e91048c5bee4a2ec1812480c5385d617b642f85b,norman,1000,random,44,30,40,10
results_merged_3seed/hvg1000/norman__random__s44f40-50.json,6ee28eb3558d10c4782db42d8da254ad902fac23c3505bb93406544a2866a93f,norman,1000,random,44,40,50,10
results_merged_3seed/hvg1000/norman__string_ppi__s43f0-10.json,cac7e807d63cffd1bed51d7fde7bbadbbe7c8c7e1328063b6d244f6d3555894d,norman,1000,string_ppi,43,0,10,10
results_merged_3seed/hvg1000/norman__string_ppi__s43f10-20.json,997130fe9f37ec8ae9c5fee604203edf35b5dc80c688fb9698965943bbdf0a06,norman,1000,string_ppi,43,10,20,10
results_merged_3seed/hvg1000/norman__string_ppi__s43f20-30.json,cc9a79f202666b6852eaf193eab1f64d2a67d58b38734a47529bf5bb1f5af7e9,norman,1000,string_ppi,43,20,30,10
results_merged_3seed/hvg1000/norman__string_ppi__s43f30-40.json,80fc880200c56268d3f0c3257573a6c21ddc1335eddcfa6d38e97485694bc00d,norman,1000,string_ppi,43,30,40,10
results_merged_3seed/hvg1000/norman__string_ppi__s43f40-50.json,17aa66b27993cf0f06b0f504bd2e1b8ce143aec17fd7d4b41f97fd1eb0dfae52,norman,1000,string_ppi,43,40,50,10
results_merged_3seed/hvg1000/norman__string_ppi__s44f0-10.json,a5d2e596b187fedf9f1f8a0fc22f59c62a3786812e6f38b2642a3ed9da1c4007,norman,1000,string_ppi,44,0,10,10
results_merged_3seed/hvg1000/norman__string_ppi__s44f10-20.json,db7e68e0115aae894b523f84817caddb64d4f036d3005d83ea81e6fff389d7ef,norman,1000,string_ppi,44,10,20,10
results_merged_3seed/hvg1000/norman__string_ppi__s44f20-30.json,89d37b81c5dbb3f955224009e184655c2c27ec5b49de56ae63a63e1c271c70c0,norman,1000,string_ppi,44,20,30,10
results_merged_3seed/hvg1000/norman__string_ppi__s44f30-40.json,0ac61f9a06e044b05c9f1837bb9abdf86b0faffabd7068ee67a333e7035b4491,norman,1000,string_ppi,44,30,40,10
results_merged_3seed/hvg1000/norman__string_ppi__s44f40-50.json,252798a49356089ba0d9eb46b9e98741c68c5f661da396b23fa8540770a59436,norman,1000,string_ppi,44,40,50,10
results_merged_3seed/hvg1000/replogle_k562__combined__s42f0-10.json,4b6354fde542a38dd874ad21840aa5ffa0d24564035fc570eff46bdbf15872a6,replogle_k562,1000,combined,42,0,10,10
results_merged_3seed/hvg1000/replogle_k562__combined__s42f10-20.json,d90786c3be10d6289ddfb06f9be2cc686c29085d2a18327e93971c2bb12031b2,replogle_k562,1000,combined,42,10,20,10
results_merged_3seed/hvg1000/replogle_k562__combined__s42f20-30.json,8b33bb19b07fe635d497f34d638a8d467251bc079b85d73f66d229ce3dc8aab2,replogle_k562,1000,combined,42,20,30,10
results_merged_3seed/hvg1000/replogle_k562__combined__s42f30-40.json,d8c174b64d53a63dc1dc7a0f0444727baffbae68f723364e6b489667350e8241,replogle_k562,1000,combined,42,30,40,10
results_merged_3seed/hvg1000/replogle_k562__combined__s42f40-50.json,2e7cbbcd3106e010ab5d3ed9c8b6934ce0a6a6b94829f903f5f2f6c5d59f8ca9,replogle_k562,1000,combined,42,40,50,10
results_merged_3seed/hvg1000/replogle_k562__combined__s43f0-10.json,6a468305a4ba0b3ec31f63036787ec885fe591618acb6e4d99fa624e96f0bb40,replogle_k562,1000,combined,43,0,10,10
results_merged_3seed/hvg1000/replogle_k562__combined__s43f10-20.json,2ec3fff169139a2d0dcdc77c087088a9b5bbcb7adbf676ddc070c8a63d9a46ec,replogle_k562,1000,combined,43,10,20,10
results_merged_3seed/hvg1000/replogle_k562__combined__s43f20-30.json,ea73ab2386fd923e364a7a2ec015ff63e784c84606321c16d465d009fc41d439,replogle_k562,1000,combined,43,20,30,10
results_merged_3seed/hvg1000/replogle_k562__combined__s43f30-40.json,2be36a5923f5f4d21cfc0174b10f5b31184b0cac155828b5e8c27ddc4cd36743,replogle_k562,1000,combined,43,30,40,10
results_merged_3seed/hvg1000/replogle_k562__combined__s43f40-50.json,0e975409b7f7cb35367d8a9ff90c0a0170b6640477601f98d9078d45df4867b6,replogle_k562,1000,combined,43,40,50,10
results_merged_3seed/hvg1000/replogle_k562__combined__s44f0-10.json,722f66c8bbf6099a7b9af48726ee6e47d6e9846565c830d4332b2f8680a90f4a,replogle_k562,1000,combined,44,0,10,10
results_merged_3seed/hvg1000/replogle_k562__combined__s44f10-20.json,458e2f11422265a9c7ff35e4199c005288622190c07d3b2ecaedc2e110167c4f,replogle_k562,1000,combined,44,10,20,10
results_merged_3seed/hvg1000/replogle_k562__combined__s44f20-30.json,6a1ffb18d0afb3fc518780fcbb881dcffb7db3bdb91fcd417827c5f4d40d94b7,replogle_k562,1000,combined,44,20,30,10
results_merged_3seed/hvg1000/replogle_k562__combined__s44f30-40.json,3f1540b18d9ecdbd64dee829feb5898373792c3f5c583846b738af2ed5643fbc,replogle_k562,1000,combined,44,30,40,10
results_merged_3seed/hvg1000/replogle_k562__combined__s44f40-50.json,069a2df67ae7ab9018a89f79485542fd30969c0212afa7dd9d442c35f9d09230,replogle_k562,1000,combined,44,40,50,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s42f0-10.json,5afde79a71b1e81216f2849e93eb6b1890d0f7331e6245247b6041ad8b01a199,replogle_k562,1000,gene_ontology,42,0,10,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s42f10-20.json,7ae437af73097ee3222ecb0fd3d42dd944d7bea82928eb1cd70be9914392e6cd,replogle_k562,1000,gene_ontology,42,10,20,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s42f20-30.json,d16fe219745e412d9cfd5bd3531928fab89e0e086c84758460d327c60d924b7f,replogle_k562,1000,gene_ontology,42,20,30,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s42f30-40.json,38cc479e3ca354c08cbbfa17a078ddba2d56f71e07b282eaf224a6681cd984c5,replogle_k562,1000,gene_ontology,42,30,40,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s42f40-50.json,207c1e40d61a3090d8ffed896de12336f12a13ec496351ab42df73065a8f129c,replogle_k562,1000,gene_ontology,42,40,50,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s43f0-10.json,1d344ee3923c4a90d7ca7da0d41a24b7e93747c6abf3e72d70bf140b9fbe456b,replogle_k562,1000,gene_ontology,43,0,10,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s43f10-20.json,1c98da1b2f24b0e32291b0c56928add6cd29040496667a25534c17dab9c50036,replogle_k562,1000,gene_ontology,43,10,20,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s43f20-30.json,ec6d00d6c14ad24a2ecdfd84780697d42077b33b4d5adebf8ab43daa0c72fa81,replogle_k562,1000,gene_ontology,43,20,30,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s43f30-40.json,3e7812fda5789429ada87239f0e2ecb6551b036ad03d5a5ae38f19efcdcabd53,replogle_k562,1000,gene_ontology,43,30,40,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s43f40-50.json,3c1159f150a3dd017326cabab7abd3818a7ec4e3824e18e823bbc99754412dce,replogle_k562,1000,gene_ontology,43,40,50,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s44f0-10.json,36f57c80c2f1a9c5c21081cb1bd471b063505cff9b5dfb47cd791b89e2a2db18,replogle_k562,1000,gene_ontology,44,0,10,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s44f10-20.json,424b780562e756fc09e8bec4cdddc18c92c1fddad01fb2a083bcd50848814fff,replogle_k562,1000,gene_ontology,44,10,20,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s44f20-30.json,0a902c67d104934174643eac343d619d81d8c1c16fb1f3bdb79bcb978a32a178,replogle_k562,1000,gene_ontology,44,20,30,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s44f30-40.json,81a2921abdf1f6268890f4fe25acb6cb629c468b4b5cbc19ff624146252b811c,replogle_k562,1000,gene_ontology,44,30,40,10
results_merged_3seed/hvg1000/replogle_k562__gene_ontology__s44f40-50.json,737853cc1c8f911267a5cb1e4a4aea6486019977e1536ed6306bb3340fdb9a1a,replogle_k562,1000,gene_ontology,44,40,50,10
results_merged_3seed/hvg1000/replogle_k562__no_graph__s42f0-10.json,aaf1927dcee667238c3f51fcd266044661244e5db75dd44ffdedffa1a1888207,replogle_k562,1000,no_graph,42,0,10,10
results_merged_3seed/hvg1000/replogle_k562__no_graph__s42f10-20.json,4a95205c004b8ed48b2505488c461b21eb94303d98aeb7b67cb82c65c32932c4,replogle_k562,1000,no_graph,42,10,20,10
results_merged_3seed/hvg1000/replogle_k562__no_graph__s42f20-30.json,65a96daa82307ce62c222a8406587d599cfcd2f700abf7dcd72badd9906e7194,replogle_k562,1000,no_graph,42,20,30,10
results_merged_3seed/hvg1000/replogle_k562__no_graph__s42f30-40.json,5e17ad90af8e7b9d66173dd1b4fcd88d38b6c6bb2e0efaf6d5dbfadfab6adef7,replogle_k562,1000,no_graph,42,30,40,10
results_merged_3seed/hvg1000/replogle_k562__no_graph__s42f40-50.json,2ba189a061c393bccb85e2a1788d50d3863b8e7bd8c6271014d252dc42287452,replogle_k562,1000,no_graph,42,40,50,10
